person_id,age,age_group,gender,road_user
1,74,65+,Male,Driver
2,19,18-25,Female,Driver
3,33,26-40,Female,Driver
4,32,26-40,Female,Driver
5,61,41-65,Female,Passenger
6,47,41-65,Male,Motorcycle rider
7,69,65+,Male,Driver
8,29,26-40,Female,Passenger
9,19,18-25,Male,Motorcycle rider
10,55,41-65,Female,Driver
11,45,41-65,Female,Driver
12,50,41-65,Male,Pedestrian
13,45,41-65,Male,Driver
14,61,41-65,Male,Driver
15,74,65+,Male,Pedestrian
16,25,26-40,Male,Driver
17,4,0-17,Male,Pedestrian
18,27,26-40,Male,Driver
19,66,65+,Male,Driver
20,26,26-40,Female,Driver
21,65,65+,Female,Pedestrian
22,33,26-40,Male,Pedestrian
23,41,41-65,Female,Driver
24,42,41-65,Male,Driver
25,32,26-40,Male,Driver
26,21,18-25,Male,Passenger
27,38,26-40,Male,Driver
28,69,65+,Male,Motorcycle rider
29,59,41-65,Female,Driver
30,68,65+,Female,Passenger
31,51,41-65,Female,Driver
32,76,65+,Male,Driver
33,35,26-40,Male,Motorcycle rider
34,55,41-65,Male,Motorcycle rider
35,63,41-65,Male,Motorcycle rider
36,64,41-65,Male,Motorcycle rider
37,66,65+,Female,Passenger
38,61,41-65,Male,Pedal cyclist
39,30,26-40,Female,Driver
40,45,41-65,Male,Motorcycle rider
41,60,41-65,Male,Motorcycle rider
42,34,26-40,Male,Driver
43,27,26-40,Male,Motorcycle rider
44,26,26-40,Male,Driver
45,46,41-65,Male,Motorcycle rider
46,50,41-65,Female,Pedestrian
47,85,65+,Female,Pedestrian
48,92,65+,Female,Driver
49,89,65+,Female,Pedestrian
50,74,65+,Female,Driver
51,26,26-40,Male,Motorcycle rider
52,60,41-65,Female,Driver
53,59,41-65,Female,Passenger
54,77,65+,Male,Motorcycle rider
55,63,41-65,Female,Driver
56,90,65+,Female,Driver
57,31,26-40,Male,Passenger
58,24,18-25,Male,Driver
59,49,41-65,Male,Driver
60,21,18-25,Male,Driver
61,16,0-17,Male,Driver
62,22,18-25,Female,Passenger
63,24,18-25,Male,Motorcycle rider
64,21,18-25,Female,Driver
65,51,41-65,Male,Driver
66,23,18-25,Male,Passenger
67,74,65+,,Motorcycle rider
68,80,65+,Female,Passenger
69,67,65+,Female,Pedestrian
70,64,41-65,Female,Pedestrian
71,17,18-25,Female,Driver
72,35,26-40,Male,Driver
73,71,65+,Male,Motorcycle rider
74,41,41-65,Male,Driver
75,24,18-25,Female,Driver
76,54,41-65,Male,Driver
77,18,18-25,Male,Motorcycle rider
78,27,26-40,Male,Pedestrian
79,97,65+,Female,Passenger
80,46,41-65,Male,Driver
81,83,65+,Male,Driver
82,36,26-40,Male,Driver
83,70,65+,Male,Driver
84,29,26-40,Female,Driver
85,39,26-40,Male,Motorcycle rider
86,39,26-40,Male,Driver
87,43,41-65,Male,Driver
88,61,41-65,Male,Motorcycle rider
89,52,41-65,Male,Driver
90,22,18-25,Male,Motorcycle rider
91,53,41-65,Male,Driver
92,44,41-65,Male,Motorcycle rider
93,57,41-65,Female,Passenger
94,18,18-25,Male,Driver
95,18,18-25,Male,Passenger
96,25,26-40,Male,Motorcycle rider
97,44,41-65,Female,Passenger
98,64,41-65,Female,Passenger
99,17,18-25,Male,Driver
100,43,41-65,Female,Pedestrian
101,83,65+,Female,Driver
102,71,65+,Male,Pedal cyclist
103,87,65+,Male,Passenger
104,58,41-65,Female,Pedestrian
105,43,41-65,Male,Motorcycle rider
106,15,0-17,Male,Driver
107,22,18-25,Male,Driver
108,63,41-65,Male,Pedestrian
109,38,26-40,Male,Motorcycle rider
110,36,26-40,Male,Pedal cyclist
111,21,18-25,Male,Motorcycle rider
112,40,41-65,Female,Pedestrian
113,77,65+,Female,Driver
114,78,65+,Female,Driver
115,76,65+,Female,Driver
116,25,26-40,Male,Passenger
117,29,26-40,Male,Pedestrian
118,37,26-40,Male,Driver
119,71,65+,Female,Pedestrian
120,42,41-65,Female,Driver
121,15,0-17,Female,Driver
122,60,41-65,Female,Passenger
123,57,41-65,Male,Driver
124,30,26-40,Male,Driver
125,48,41-65,Female,Pedestrian
126,60,41-65,Female,Motorcycle rider
127,68,65+,Male,Motorcycle rider
128,66,65+,Male,Motorcycle rider
129,65,65+,Male,Pedal cyclist
130,63,41-65,Male,Driver
131,19,18-25,Male,Passenger
132,20,18-25,Male,Driver
133,35,26-40,Male,Pedestrian
134,28,26-40,Male,Pedestrian
135,30,26-40,Male,Passenger
136,31,26-40,Female,Pedestrian
137,62,41-65,Male,Driver
138,69,65+,Female,Driver
139,83,65+,Female,Pedestrian
140,66,65+,Male,Passenger
141,31,26-40,Male,Driver
142,60,41-65,Male,Driver
143,56,41-65,Male,Driver
144,82,65+,Male,Passenger
145,43,41-65,Male,Pedal cyclist
146,21,18-25,Female,Pedestrian
147,29,26-40,Male,Driver
148,75,65+,Female,Driver
149,32,26-40,Male,Motorcycle rider
150,31,26-40,Female,Driver
151,40,41-65,Female,Driver
152,96,65+,Male,Driver
153,40,41-65,Female,Passenger
154,13,0-17,Male,Passenger
155,37,26-40,Male,Passenger
156,81,65+,Male,Pedestrian
157,80,65+,Female,Pedestrian
158,54,41-65,Male,Motorcycle rider
159,76,65+,Female,Passenger
160,55,41-65,Female,Motorcycle rider
161,44,41-65,Female,Driver
162,28,26-40,Male,Motorcycle rider
163,15,0-17,Male,
164,91,65+,Male,Pedestrian
165,11,0-17,Female,Passenger
166,53,41-65,Female,Driver
167,73,65+,Male,Driver
168,48,41-65,Female,Driver
169,57,41-65,Female,Driver
170,69,65+,Male,Pedestrian
171,51,41-65,Male,Motorcycle rider
172,34,26-40,Male,Passenger
173,22,18-25,Male,Passenger
174,73,65+,Male,Motorcycle rider
175,78,65+,Female,Passenger
176,74,65+,Female,Passenger
177,20,18-25,Male,Motorcycle rider
178,23,18-25,Female,Driver
179,31,26-40,Female,Passenger
180,40,41-65,Male,Driver
181,14,0-17,Male,Passenger
182,41,41-65,Male,Motorcycle rider
183,90,65+,Male,Pedestrian
184,48,41-65,Male,Motorcycle rider
185,34,26-40,Female,Motorcycle rider
186,58,41-65,Male,Passenger
187,5,0-17,Male,Passenger
188,15,0-17,Female,Passenger
189,37,26-40,Male,Motorcycle rider
190,70,65+,Female,Pedestrian
191,2,0-17,Female,Pedestrian
192,59,41-65,Female,Motorcycle rider
193,76,65+,Male,Motorcycle rider
194,76,65+,Male,Pedestrian
195,44,41-65,Male,Driver
196,77,65+,Male,Driver
197,65,65+,Male,Motorcycle rider
198,33,26-40,Female,Motorcycle rider
199,34,26-40,Female,
200,11,0-17,Male,Pedestrian
201,39,26-40,Female,Pedestrian
202,30,26-40,Male,Motorcycle rider
203,14,0-17,Male,Motorcycle rider
204,24,18-25,Female,Passenger
205,78,65+,Male,Pedestrian
206,9,0-17,Male,Pedal cyclist
207,15,0-17,Male,Motorcycle rider
208,37,26-40,Male,Pedestrian
209,52,41-65,Male,Pedestrian
210,1,0-17,Female,Pedestrian
211,52,41-65,Female,Driver
212,93,65+,Female,Driver
213,87,65+,Male,Driver
214,94,65+,Male,Driver
215,81,65+,Female,Passenger
216,83,65+,Male,Passenger
217,31,26-40,Male,Motorcycle rider
218,34,26-40,Male,Motorcycle rider
219,23,18-25,Male,Motorcycle rider
220,27,26-40,Female,Driver
221,65,65+,Female,Driver
222,72,65+,Male,Driver
223,81,65+,Male,Driver
224,15,0-17,Female,
225,79,65+,Female,Pedestrian
226,23,18-25,Male,Driver
227,58,41-65,Male,Driver
228,74,65+,Female,Pedestrian
229,32,26-40,Male,Pedestrian
230,53,41-65,Male,Pedestrian
231,84,65+,Male,Passenger
232,50,41-65,Male,Motorcycle rider
233,65,65+,Male,Driver
234,22,18-25,Female,Driver
235,48,41-65,Male,Driver
236,50,41-65,Male,Pedal cyclist
237,17,18-25,Male,Passenger
238,35,26-40,Female,Pedestrian
239,56,41-65,Female,Driver
240,81,65+,Male,Pedal cyclist
241,80,65+,Female,Driver
242,49,41-65,Male,Passenger
243,36,26-40,Male,Pedestrian
244,57,41-65,Male,Motorcycle rider
245,28,26-40,Male,Driver
246,58,41-65,Male,Motorcycle rider
247,15,0-17,Female,Pedestrian
248,54,41-65,Male,Passenger
249,62,41-65,Male,Pedestrian
250,45,41-65,Female,
251,39,26-40,Male,Pedestrian
252,26,26-40,Female,Passenger
253,50,41-65,Male,Driver
254,57,41-65,Male,Pedestrian
255,64,41-65,Male,Driver
256,68,65+,Male,Driver
257,54,41-65,Female,Driver
258,63,41-65,Female,Pedestrian
259,13,0-17,Male,Pedestrian
260,29,26-40,Male,Motorcycle rider
261,56,41-65,Male,Pedestrian
262,73,65+,Male,Pedestrian
263,19,18-25,Male,Driver
264,78,65+,Male,Motorcycle rider
265,85,65+,Male,Driver
266,70,65+,Male,Motorcycle rider
267,42,41-65,Male,Pedal cyclist
268,66,65+,Male,Pedestrian
269,20,18-25,Male,Motorcycle pillion passenger
270,49,41-65,Male,Pedestrian
271,61,41-65,Male,Pedestrian
272,79,65+,Male,Driver
273,68,65+,Female,Pedestrian
274,6,0-17,Male,Passenger
275,0,0-17,Male,Passenger
276,21,18-25,Female,Passenger
277,33,26-40,Female,Passenger
278,49,41-65,Male,Pedal cyclist
279,35,26-40,Female,Passenger
280,28,26-40,Male,Passenger
281,68,65+,Female,Pedal cyclist
282,79,65+,Male,Pedestrian
283,37,26-40,Female,Pedestrian
284,37,26-40,Female,Driver
285,27,26-40,Male,Pedal cyclist
286,75,65+,Male,Driver
287,67,65+,Male,Pedestrian
288,36,26-40,Female,Passenger
289,3,0-17,Female,Passenger
290,47,41-65,Male,Driver
291,70,65+,Male,Pedestrian
292,71,65+,Male,Driver
293,63,41-65,Female,Passenger
294,27,26-40,Male,Passenger
295,16,0-17,Male,Passenger
296,96,65+,Female,Pedestrian
297,18,18-25,Female,Driver
298,59,41-65,Male,Driver
299,55,41-65,Male,Driver
300,80,65+,Male,Pedestrian
301,20,18-25,Female,Pedestrian
302,78,65+,Male,Driver
303,49,41-65,Male,Motorcycle rider
304,17,18-25,Male,Motorcycle rider
305,32,26-40,Male,
306,8,0-17,Male,Passenger
307,63,41-65,Male,Pedal cyclist
308,56,41-65,Female,Pedal cyclist
309,20,18-25,Male,Passenger
310,18,18-25,Female,Passenger
311,20,18-25,Female,Passenger
312,16,0-17,Male,Motorcycle rider
313,33,26-40,Male,Driver
314,67,65+,Male,Driver
315,77,65+,,Passenger
316,69,65+,Male,Pedal cyclist
317,28,26-40,Female,Driver
318,3,0-17,Male,Passenger
319,30,26-40,Female,
320,84,65+,Male,Driver
321,85,65+,Female,Driver
322,11,0-17,Male,Pedal cyclist
323,83,65+,Male,Pedestrian
324,60,41-65,Male,Passenger
325,40,41-65,Male,Pedestrian
326,78,65+,Male,Passenger
327,2,0-17,Male,Passenger
328,72,65+,Female,Driver
329,17,18-25,Female,Passenger
330,80,65+,Male,Driver
331,26,26-40,Female,Motorcycle rider
332,26,26-40,Male,Passenger
333,83,65+,Female,Passenger
334,82,65+,Female,Driver
335,30,26-40,Male,Pedestrian
336,29,26-40,Female,Pedestrian
337,44,41-65,Male,Pedestrian
338,81,65+,Female,Pedestrian
339,36,26-40,Male,Motorcycle rider
340,63,41-65,Male,Passenger
341,24,18-25,Male,Passenger
342,71,65+,Female,Passenger
343,57,41-65,Male,Pedal cyclist
344,56,41-65,Female,Passenger
345,68,65+,Female,Driver
346,54,41-65,Male,Pedal cyclist
347,47,41-65,Male,Pedal cyclist
348,43,41-65,Male,Passenger
349,56,41-65,,Motorcycle rider
350,43,41-65,Male,Pedestrian
351,20,18-25,Female,Motorcycle rider
352,82,65+,Female,Pedestrian
353,61,41-65,Female,Pedestrian
354,90,65+,Male,Driver
355,40,41-65,Male,Motorcycle rider
356,87,65+,Male,Pedestrian
357,59,41-65,Male,Motorcycle rider
358,33,26-40,Male,Motorcycle rider
359,73,65+,Female,Pedestrian
360,19,18-25,Female,Pedestrian
361,32,26-40,Female,Pedestrian
362,41,41-65,Male,Passenger
363,93,65+,Male,Driver
364,84,65+,Female,Driver
365,18,18-25,Male,Pedestrian
366,76,65+,Female,Pedestrian
367,35,26-40,Female,Driver
368,38,26-40,Female,Driver
369,89,65+,Female,Driver
370,90,65+,Male,
371,62,41-65,Female,Driver
372,24,18-25,Female,Motorcycle pillion passenger
373,38,26-40,Male,Pedestrian
374,20,18-25,Female,Driver
375,79,65+,Male,Motorcycle rider
376,79,65+,Female,Driver
377,56,41-65,Male,Motorcycle rider
378,9,0-17,Male,Passenger
379,45,41-65,Male,Passenger
380,4,0-17,Male,Passenger
381,53,41-65,Male,Motorcycle rider
382,32,26-40,Female,Passenger
383,12,0-17,Male,Pedestrian
384,16,0-17,Female,Passenger
385,50,41-65,Female,Driver
386,76,65+,Male,Pedal cyclist
387,70,65+,Male,Pedal cyclist
388,28,26-40,Female,Passenger
389,82,65+,Female,Passenger
390,73,65+,Female,Driver
391,91,65+,Female,Passenger
392,31,26-40,Male,Pedal cyclist
393,43,41-65,Female,Passenger
394,59,41-65,Male,Pedestrian
395,30,26-40,Female,Pedestrian
396,72,65+,Male,Motorcycle rider
397,67,65+,Female,Motorcycle rider
398,74,65+,Male,Motorcycle rider
399,66,65+,Female,Driver
400,53,41-65,Male,Pedal cyclist
401,41,41-65,Female,Passenger
402,49,41-65,Female,Driver
403,15,0-17,Female,Motorcycle pillion passenger
404,78,65+,Female,Pedestrian
405,70,65+,Female,Driver
406,26,26-40,Male,Pedestrian
407,68,65+,Male,Passenger
408,86,65+,Male,Driver
409,75,65+,Female,Passenger
410,15,0-17,Male,Passenger
411,91,65+,Male,Driver
412,13,0-17,Male,
413,45,41-65,Female,Pedestrian
414,42,41-65,Male,Motorcycle rider
415,18,18-25,Female,Pedestrian
416,25,26-40,Female,Motorcycle rider
417,21,18-25,Male,Pedestrian
418,66,65+,Male,Pedal cyclist
419,15,0-17,Male,Pedal cyclist
420,54,41-65,Female,Passenger
421,39,26-40,Female,Driver
422,72,65+,Male,Pedestrian
423,47,41-65,Female,Driver
424,62,41-65,Male,Pedal cyclist
425,42,41-65,Male,Pedestrian
426,65,65+,Male,Pedestrian
427,13,0-17,Female,
428,41,41-65,Female,Motorcycle rider
429,17,18-25,Male,Pedestrian
430,31,26-40,Male,Pedestrian
431,20,18-25,Male,Pedestrian
432,36,26-40,Female,Pedal cyclist
433,17,18-25,Male,Motorcycle pillion passenger
434,51,41-65,Male,Pedestrian
435,64,41-65,Male,Pedestrian
436,23,18-25,Female,Passenger
437,19,18-25,Female,Passenger
438,70,65+,Male,
439,82,65+,Male,Driver
440,47,41-65,Female,Passenger
441,70,65+,Female,Passenger
442,34,26-40,Female,Passenger
443,30,26-40,Female,Pedal cyclist
444,42,41-65,Male,Passenger
445,50,41-65,Male,Passenger
446,58,41-65,Male,Pedal cyclist
447,53,41-65,Female,Motorcycle rider
448,27,26-40,Female,Passenger
449,31,26-40,Male,
450,7,0-17,Female,Passenger
451,93,65+,Female,Pedestrian
452,55,41-65,Female,Pedestrian
453,3,0-17,Female,Pedestrian
454,51,41-65,Male,Pedal cyclist
455,79,65+,Female,Passenger
456,50,41-65,Female,Passenger
457,16,0-17,Male,Pedestrian
458,27,26-40,Male,
459,90,65+,Female,Passenger
460,11,0-17,Male,Passenger
461,23,18-25,Female,Motorcycle pillion passenger
462,35,26-40,Male,
463,69,65+,Female,Pedestrian
464,52,41-65,Male,Motorcycle rider
465,41,41-65,Male,
466,88,65+,Male,Driver
467,64,41-65,Male,Pedal cyclist
468,12,0-17,Female,Passenger
469,49,41-65,Female,Pedestrian
470,61,41-65,Female,Driver
471,48,41-65,Female,Passenger
472,28,26-40,Male,
473,29,26-40,Male,Passenger
474,25,26-40,Female,Driver
475,38,26-40,Female,Passenger
476,89,65+,Female,Passenger
477,44,41-65,Male,
478,92,65+,Female,Pedestrian
479,57,41-65,Male,Passenger
480,2,0-17,Male,Pedestrian
481,85,65+,Male,Motorcycle rider
482,62,41-65,Female,Passenger
483,25,26-40,Female,Passenger
484,7,0-17,Male,Pedestrian
485,85,65+,Female,Passenger
486,67,65+,Female,Driver
487,77,65+,Male,Pedestrian
488,56,41-65,Female,Motorcycle rider
489,85,65+,Male,Pedestrian
490,65,65+,Female,Passenger
491,65,65+,Female,Motorcycle rider
492,22,18-25,Male,Pedestrian
493,38,26-40,Male,Passenger
494,22,18-25,Female,Pedestrian
495,62,41-65,Male,Motorcycle rider
496,82,65+,Male,Motorcycle rider
497,37,26-40,Male,Pedal cyclist
498,44,41-65,Female,Pedestrian
499,9,0-17,Female,Pedestrian
500,47,41-65,Male,Pedestrian
501,75,65+,Male,Motorcycle rider
502,58,41-65,Female,Driver
503,77,65+,Female,Passenger
504,46,41-65,Female,Driver
505,31,26-40,Female,Motorcycle pillion passenger
506,5,0-17,Female,Passenger
507,88,65+,Female,Passenger
508,82,65+,Male,Pedestrian
509,82,65+,Male,Pedal cyclist
510,39,26-40,Male,Passenger
511,78,65+,Male,Pedal cyclist
512,84,65+,Male,Pedestrian
513,90,65+,Male,Passenger
514,67,65+,Male,Motorcycle rider
515,58,41-65,Male,Pedestrian
516,72,65+,Male,Pedal cyclist
517,61,41-65,Male,
518,100,65+,Female,Passenger
519,75,65+,Male,Passenger
520,84,65+,Female,Passenger
521,86,65+,Male,Passenger
522,84,65+,Female,Pedestrian
523,70,65+,Male,Passenger
524,5,0-17,Female,
525,4,0-17,Female,
526,1,0-17,Female,
527,9,0-17,Female,
528,33,26-40,Male,Passenger
529,37,26-40,Female,Passenger
530,56,41-65,Male,Passenger
531,87,65+,Female,Pedestrian
532,55,41-65,Male,Passenger
533,8,0-17,Female,Passenger
534,18,18-25,Female,Motorcycle rider
535,35,26-40,Female,Motorcycle pillion passenger
536,88,65+,Female,Pedestrian
537,25,26-40,Male,Pedestrian
538,86,65+,Female,Passenger
539,32,26-40,Male,Passenger
540,71,65+,Male,Pedestrian
541,10,0-17,Male,Passenger
542,36,26-40,Male,Passenger
543,66,65+,Female,Pedestrian
544,69,65+,Female,Passenger
545,73,65+,Male,Passenger
546,73,65+,Female,Passenger
547,49,41-65,Female,Motorcycle rider
548,48,41-65,Male,Pedestrian
549,86,65+,Female,Pedestrian
550,26,26-40,Male,Pedal cyclist
551,91,65+,Male,Passenger
552,24,18-25,Male,Pedestrian
553,44,41-65,Male,Passenger
554,52,41-65,Female,Passenger
555,41,41-65,Male,Pedal cyclist
556,17,18-25,Female,Pedal cyclist
557,5,0-17,Male,Pedestrian
558,67,65+,Male,Pedal cyclist
559,34,26-40,Female,Driver
560,59,41-65,Male,Pedal cyclist
561,60,41-65,Male,
562,46,41-65,Male,Pedestrian
563,0,0-17,Male,Pedestrian
564,30,26-40,Female,Passenger
